family,id,name,cost,baseIncome,synergyTypes,upgradePath,maxLevel,reputationPerTurn,synergyCoinBonus,synergyRepBonus,description,tier,trigger,effect,target,targetSynergy,coinDelta,reputationDelta,duration,effectType,multiplier,targetBusiness,incomeBonus,synergyRangeBonus,requiredLevel,reputationBonus,newDisplayName,ongoingCost,handSlotsAdded,refreshCostDiscount,actionsPerTurn,peekOncePerTurn,art_notes
upgrade,upg-drive-in,Upgrade to Drive-In Theater,700,,,,,,,,Turns the Cinema into a Drive-In Theater with a much wider community reach.,8,,,,,,,,,,Cinema,200,2,0,100,Drive-In Theater,,,,,,A portable projector casting a beam onto a white outdoor screen.
upgrade,upg-wellness-center,Upgrade to Wellness Center,900,,,,,,,,Expands the Day Spa into a Wellness Center with a broader service footprint.,11,,,,,,,,,,Day Spa,250,2,0,100,Wellness Center,,,,,,A green leaf with a silver heartbeat line running through it.
upgrade,upg-grand-bakehouse,Upgrade to Grand Bakehouse,900,,,,,,,,The pinnacle of baking craft — a Grand Bakehouse drawing visitors from afar.,12,,,,,,,,,,Bakery,350,1,1,100,Grand Bakehouse,,,,,,A brick oven with flames visible through its arched opening and a peel resting beside it.
upgrade,upg-restaurant,Upgrade to Restaurant,1400,,,,,,,,Elevates the Diner all the way to a full-service Restaurant.,10,,,,,,,,,,Diner,550,1,1,100,Restaurant,,,,,,A chef toque above crossed silver fork and knife on a white plate.
upgrade,upg-multiplex,Upgrade to Multiplex,1400,,,,,,,,A massive Multiplex complex — the entertainment heart of Main Street.,9,,,,,,,,,,Cinema,700,1,1,100,Multiplex,,,,,,Five stacked silver screen rectangles in decreasing size with a golden marquee.
upgrade,upg-luxury-retreat,Upgrade to Luxury Retreat,1400,,,,,,,,A destination Luxury Retreat — the most prestigious business on the street.,11,,,,,,,,,,Day Spa,700,1,1,100,Luxury Retreat,,,,,,A gold-framed resort entrance with a marble fountain and a red welcome banner.
upgrade,upg-community-hub,Upgrade to Community Hub,400,,,,,,,,Transforms the Library into a Community Hub providing +10 reputation per turn.,10,,,,,,,,,,Library,,,0,10,Community Hub,,,,,,A round meeting table with five chairs and a green plant in the center.
upgrade,upg-smoothie-bar,Upgrade to Smoothie Bar,400,,,,,,,,Turns a Juice Bar into a Smoothie Bar with higher income.,5,,,,,,,,,,Juice Bar,100,0,0,,Smoothie Bar,,,,,,"A tall glass with a pink smoothie, a straw, and a blueberry on the rim."
upgrade,upg-wellness-retreat,Upgrade to Wellness Retreat,500,,,,,,,,Expands the Yoga Studio into a full Wellness Retreat.,9,,,,,,,,,,Yoga Studio,150,1,0,,Wellness Retreat,,,,,,A zen rock stack of three smooth stones with a green lotus in front.
upgrade,upg-fitness-center,Upgrade to Fitness Center,500,,,,,,,,Expands the Gym into a full Fitness Center.,9,,,,,,,,,,Gym,150,1,0,,Fitness Center,,,,,,A silver dumbbell with a green lightning bolt symbol on its side.
upgrade,upg-dental-clinic,Upgrade to Dental Clinic,700,,,,,,,,Expands the Dentist into a full Dental Clinic.,11,,,,,,,,,,Dentist,200,1,0,,Dental Clinic,,,,,,A silver toothbrush with blue bristles and a white tooth behind it.
upgrade,upg-bespoke-tailor,Upgrade to Bespoke Tailor,400,,,,,,,,Elevates the Tailor into a Bespoke Tailor.,6,,,,,,,,,,Tailor,100,0,0,,Bespoke Tailor,,,,,,A silver tailor chalk marker with a red measuring tape coiled beside it.
upgrade,upg-toy-warehouse,Upgrade to Toy Warehouse,400,,,,,,,,Scales the Toy Store into a Toy Warehouse with wider reach.,6,,,,,,,,,,Toy Store,100,1,0,,Toy Warehouse,,,,,,A large brown cardboard box with three smaller boxes stacked inside.
upgrade,upg-tea-lounge,Upgrade to Tea Lounge,400,,,,,,,,Turns the Teahouse into a Tea Lounge with a reputation boost.,7,,,,,,,,,,Teahouse,100,0,0,10,Tea Lounge,,,,,,A ceramic teacup on a saucer with a sprig of green mint leaves.
upgrade,upg-gourmet-deli,Upgrade to Gourmet Deli,400,,,,,,,,Elevates the Delicatessen into a Gourmet Deli.,7,,,,,,,,,,Delicatessen,150,0,0,,Gourmet Deli,,,,,,A silver charcuterie board with a wedge of cheese and a cluster of grapes.
upgrade,upg-adventure-park,Upgrade to Adventure Park,300,,,,,,,,Expands the Playground into an Adventure Park with +5 reputation per turn.,4,,,,,,,,,,Playground,0,0,0,5,Adventure Park,,,,,,A wooden climbing frame with a rope net and a flag on top.
upgrade,upg-orchard,Upgrade to Orchard,300,,,,,,,,Expands the Community Garden into an Orchard with +5 reputation per turn.,5,,,,,,,,,,Community Garden,0,0,0,5,Orchard,,,,,,An apple tree with three red apples hanging from its branches.
upgrade,upg-grand-fountain,Upgrade to Grand Fountain,300,,,,,,,,Rebuilds the Town Fountain as a Grand Fountain with +5 reputation per turn.,5,,,,,,,,,,Town Fountain,0,0,0,5,Grand Fountain,,,,,,An ornate stone fountain with five water jets and a bronze angel statue.
upgrade,upg-health-center,Upgrade to Health Center,400,,,,,,,,Expands the Health Kiosk into a Health Center with +5 reputation per turn.,8,,,,,,,,,,Health Kiosk,0,0,0,5,Health Center,,,,,,A white building with a large red cross and a green door.
staff,staff-assistant,Assistant,300,,,,,,,,Hire an assistant to help manage your hand. Adds +1 hand slot with a small ongoing cost.,2,,,,,,,,,,,,,,,,100,1,,,,A yellow name tag reading ASSISTANT with a silver pin on its side.
staff,staff-manager,Manager,700,,,,,,,,A skilled manager keeps things organised. Adds +2 hand slots with a moderate ongoing cost.,3,,,,,,,,,,,,,,,,250,2,,,,A leather-bound planner with a silver pen clipped to its cover.
staff,staff-director,Director,1400,,,,,,,,An experienced director oversees your operations. Adds +3 hand slots with a high ongoing cost.,9,,,,,,,,,,,,,,,,400,3,,,,A gold-framed office door plaque with DIRECTOR engraved in black letters.
staff,staff-apprentice,Apprentice,200,,,,,,,,A budget hire who frees up a hand slot with a small ongoing cost.,1,,,,,,,,,,,,,,,,50,1,,,,A brown leather satchel with a small notebook peeking from the top.
staff,staff-executive,Executive,2000,,,,,,,,An experienced executive adds major hand capacity at a high ongoing cost.,10,,,,,,,,,,,,,,,,500,4,,,,A navy blue suit jacket draped over a wooden chair with a gold pocket watch.
staff,staff-socialite,Socialite,800,,,,,10,,,A charming socialite adds +1 hand slot and +10 reputation per turn.,4,,,,,,,,,,,,,,,,150,1,,,,A champagne flute with golden bubbles and a red rose perched on the rim.
staff,staff-accountant,Accountant,800,,,,,,,,A meticulous accountant adds +1 hand slot and makes investment refreshes cost 1 less.,6,,,,,,,,,,,,,,,,150,1,1,,,A leather-bound ledger book with a gold calculator resting on top.
staff,staff-general-manager,General Manager,2000,,,,,,,,Hire an experienced manager who grants an extra action per day. Adds +4 hand slots with a moderate ongoing cost.,12,,,,,,,,,,,,,,,,500,4,,1,,A silver stopwatch with a leather wrist strap and a stop/go button.
staff,staff-lookout,Lookout,1000,,,,,,,,A sharp-eyed lookout can peek at the top card of the incident deck once per turn.,7,,,,,,,,,,,,,,,,200,1,,,1,A pair of silver binoculars with a red target reticle in the center lens.
staff,staff-barista,Barista,300,,,,,,,,A skilled barista brings warmth to any business. Adjacent Food businesses gain +20 synergy coins.,2,,,,,,,,,,,,,,,,50,,,,,A green coffee cup with a latte art heart and a steaming handle.
staff,staff-security,Security Guard,700,,,,,,,,Experienced guard watches over the street. Reduces all incident coin damage by 10%.,3,,,,,,,,,,,,,,,,75,,,,,A black walkie-talkie with a silver antenna and a green status light.
staff,staff-marketing,Marketing Consultant,700,,,,,,,,Expert at drawing crowds. Businesses gain +10% reputation from all sources.,3,,,,,,,,,,,,,,,,100,,,,,A megaphone with a golden sound wave and a bullseye target beside it.
staff,staff-bookkeeper,Bookkeeper,300,,,,,,,,Keeps the books tight. Reduces this business ongoing cost by 20%.,2,,,,,,,,,,,,,,,,50,,,,,A silver abacus with blue beads on a wooden frame.
staff,staff-customer-rep,Customer Service Rep,300,,,,,,,,Ensures every visitor leaves satisfied. Adjacent businesses gain +10 synergy reputation.,2,,,,,,,,,,,,,,,,50,,,,,A silver headset with a microphone boom and a green ON LINE light.
staff,staff-it,IT Specialist,800,,,,,,,,Modernizes operations. Reduces this business refresh cost by 1.,4,,,,,,,,,,,,,,,,100,,,,,A laptop displaying a blue terminal window with green command-line text.
staff,staff-health-safety,Health & Safety Inspector,800,,,,,,,,Keeps everything up to code. Reduces incident frequency by 10% for Health businesses.,4,,,,,,,,,,,,,,,,100,,,,,A yellow hard hat with a green safety badge and a red cross on its front.
staff,staff-event-planner,Event Planner,700,,,,,,,,Creates buzz and draws visitors. +1 synergy coin per turn from Entertainment businesses.,3,,,,,,,,,,,,,,,,75,,,,,A rolled-up event poster tied with a gold ribbon and a golden pen.
staff,staff-delivery,Delivery Driver,300,,,,,,,,Handles the logistics. Reduces business card purchase cost by 50 for this business.,2,,,,,,,,,,,,,,,,50,,,,,A brown delivery backpack with a green arrow pointing forward.
staff,staff-pr,PR Officer,800,,,,,,,,Manages the street image. +15 reputation per turn from all businesses.,4,,,,,,,,,,,,,,,,100,,,,,A silver press pass on a lanyard with a golden microphone icon.
staff,staff-financial,Financial Advisor,1000,,,,,,,,Smart investments pay off. Reduces this business upgrade cost by 1.,5,,,,,,,,,,,,,,,,125,,,,,A silver piggy bank with a golden coin slot and a green dollar sign.
staff,staff-maintenance,Maintenance Worker,700,,,,,,,,Keeps everything running smoothly. Reduces incident reputation damage by 50.,3,,,,,,,,,,,,,,,,75,,,,,A blue tool belt with a silver wrench and a coiled yellow measuring tape.
